<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.01	00:00:00	4539.55	4546.06	4537.50	4540.85	2857	0	15
2026.06.01	00:15:00	4540.77	4544.46	4537.86	4543.26	2226	0	15
2026.06.01	00:30:00	4543.26	4545.11	4535.37	4536.05	2275	0	15
2026.06.01	00:45:00	4536.04	4542.79	4536.01	4540.58	2673	0	15
2026.06.01	01:00:00	4540.59	4541.20	4525.80	4533.97	4631	0	15
2026.06.01	01:15:00	4533.95	4536.47	4527.85	4528.85	3393	0	15
2026.06.01	01:30:00	4528.85	4533.81	4527.13	4533.19	3082	0	15
2026.06.01	01:45:00	4533.19	4533.73	4523.78	4525.50	3106	0	15
2026.06.01	02:00:00	4525.50	4534.05	4524.36	4532.12	2718	0	15
2026.06.01	02:15:00	4532.08	4534.64	4529.38	4530.39	1749	0	14
2026.06.01	02:30:00	4530.39	4531.09	4522.52	4523.05	3068	0	15
2026.06.01	02:45:00	4523.05	4525.13	4521.23	4521.51	2637	0	15
2026.06.01	03:00:00	4521.51	4525.60	4515.63	4518.92	2678	0	15
2026.06.01	03:15:00	4518.92	4521.36	4514.08	4520.38	2610	0	15
2026.06.01	03:30:00	4520.38	4524.03	4509.92	4510.74	2221	0	15
2026.06.01	03:45:00	4510.74	4516.51	4509.95	4516.50	1706	0	15
2026.06.01	04:00:00	4516.50	4519.77	4512.56	4514.81	1667	0	15
2026.06.01	04:15:00	4514.81	4518.65	4514.81	4515.89	1257	0	15
2026.06.01	04:30:00	4515.89	4517.30	4513.68	4514.48	1391	0	15
2026.06.01	04:45:00	4514.55	4515.11	4509.16	4514.53	1619	0	15
2026.06.01	05:00:00	4514.55	4519.31	4513.73	4518.23	1576	0	15
2026.06.01	05:15:00	4518.23	4523.67	4517.61	4520.47	1696	0	14
2026.06.01	05:30:00	4520.47	4522.14	4512.63	4519.81	3134	0	15
2026.06.01	05:45:00	4519.81	4525.36	4516.96	4518.17	2794	0	15
2026.06.01	06:00:00	4518.17	4518.76	4512.78	4514.08	3310	0	15
2026.06.01	06:15:00	4514.11	4515.71	4504.91	4514.26	3348	0	15
2026.06.01	06:30:00	4514.39	4514.78	4501.80	4504.59	3142	0	15
2026.06.01	06:45:00	4504.59	4504.61	4500.22	4501.73	3218	0	15
2026.06.01	07:00:00	4501.73	4510.00	4500.79	4507.28	3372	0	15
2026.06.01	07:15:00	4507.28	4508.32	4503.41	4503.95	2379	0	15
2026.06.01	07:30:00	4503.95	4507.75	4497.98	4498.19	2753	0	15
2026.06.01	07:45:00	4498.19	4503.04	4492.45	4503.04	3123	0	15
2026.06.01	08:00:00	4503.01	4504.36	4493.68	4495.74	3281	0	15
2026.06.01	08:15:00	4495.73	4496.86	4490.74	4496.11	2520	0	14
2026.06.01	08:30:00	4496.11	4500.32	4492.52	4500.04	2194	0	15
2026.06.01	08:45:00	4499.91	4502.59	4495.55	4498.01	2446	0	15
2026.06.01	09:00:00	4498.01	4500.76	4497.68	4499.53	2408	0	15
2026.06.01	09:15:00	4499.67	4506.39	4496.21	4496.49	2706	0	15
2026.06.01	09:30:00	4496.49	4499.30	4489.69	4498.36	3068	0	15
2026.06.01	09:45:00	4498.33	4498.56	4493.98	4496.02	2632	0	15
2026.06.01	10:00:00	4496.04	4502.13	4496.04	4501.57	2103	0	15
2026.06.01	10:15:00	4501.57	4503.50	4496.03	4502.24	2135	0	15
2026.06.01	10:30:00	4501.17	4507.44	4500.48	4505.99	2163	0	15
2026.06.01	10:45:00	4505.99	4511.05	4502.56	4504.02	2537	0	15
2026.06.01	11:00:00	4503.94	4506.67	4499.47	4504.93	2455	0	15
2026.06.01	11:15:00	4504.98	4512.94	4504.18	4510.68	2312	0	15
2026.06.01	11:30:00	4510.68	4512.27	4506.21	4507.24	2346	0	15
2026.06.01	11:45:00	4507.24	4509.79	4505.09	4505.86	2136	0	15
2026.06.01	12:00:00	4505.87	4509.62	4503.10	4503.40	2858	0	15
2026.06.01	12:15:00	4503.24	4507.74	4497.47	4505.57	3291	0	15
2026.06.01	12:30:00	4505.57	4508.28	4497.81	4507.52	3433	0	15
2026.06.01	12:45:00	4507.41	4510.51	4498.68	4502.22	3558	0	15
